S.No.,Company Name,Job Title,Salaries Reported,Location,Salary
0,Mu Sigma,Data Scientist,105,Bangalore,648573
1,IBM,Data Scientist,95,Bangalore,1191950
2,Tata Consultancy Services,Data Scientist,66,Bangalore,836874
3,Impact Analytics,Data Scientist,40,Bangalore,669578
4,Accenture,Data Scientist,32,Bangalore,944110
5,Infosys,Data Scientist,30,Bangalore,908764
6,Capgemini,Data Scientist,28,Bangalore,926124
7,Cognizant Technology Solutions,Data Scientist,26,Bangalore,736708
8,Anheuser-Busch InBev,Data Scientist,25,Bangalore,1646721
9,Fractal,Data Scientist,22,Bangalore,1392960
10,Embibe,Data Scientist,20,Bangalore,1404773
11,Amazon,Data Scientist,19,Bangalore,1507343
12,Google,Data Scientist,19,Bangalore,1558095
13,Flipkart,Data Scientist,18,Bangalore,2557843
14,HP Inc.,Data Scientist,16,Bangalore,1510081
15,Wipro,Data Scientist,15,Bangalore,732821
16,Ericsson-Worldwide,Data Scientist,15,Bangalore,1221750
17,MiQ,Data Scientist,15,Bangalore,1739484
18,Deloitte,Data Scientist,14,Bangalore,1124939
19,Microsoft,Data Scientist,14,Bangalore,1630396
20,Genpact,Data Scientist,14,Bangalore,1009436
21,Fresher,Data Scientist,14,Bangalore,550980
22,Société Générale,Data Scientist,13,Bangalore,1870000
23,Flutura,Data Scientist,13,Bangalore,758376
24,Fuzzy Logix,Data Scientist,13,Bangalore,1556575
25,DXC Technology,Data Scientist,12,Bangalore,1194327
26,Jio,Data Scientist,11,Bangalore,1470000
27,Honeywell,Data Scientist,10,Bangalore,1549942
28,Affine,Data Scientist,10,Bangalore,1009436
29,Philips,Data Scientist,9,Bangalore,1541572
30,Bharat Light & Power,Data Scientist,9,Bangalore,811182
31,Antuit,Data Scientist,9,Bangalore,1205874
32,Nielsen,Data Scientist,9,Bangalore,727111
33,[24]7.ai,Data Scientist,9,Bangalore,1923257
34,Fidelity Investments,Data Scientist,9,Bangalore,2143501
35,Myntra,Data Scientist,9,Bangalore,1926965
36,First Student,Data Scientist,9,Bangalore,495252
37,Oracle,Data Scientist,8,Bangalore,1294984
38,Ola,Data Scientist,8,Bangalore,2334960
39,Walmart Global Tech,Data Scientist,8,Bangalore,2267616
40,Tredence,Data Scientist,8,Bangalore,1366992
41,Intel Corporation,Data Scientist,8,Bangalore,1453427
42,Mercedes-Benz Research and Development India,Data Scientist,8,Bangalore,1458032
43,SAP,Data Scientist,8,Bangalore,1730166
44,Wipro Technologies,Data Scientist,8,Bangalore,658109
45,Thoucentric,Data Scientist,8,Bangalore,794460
46,Walmart,Data Scientist,8,Bangalore,2567381
47,Brillio,Data Scientist,8,Bangalore,1637231
48,Great Learning,Data Scientist,7,Bangalore,900000
49,Gramener,Data Scientist,7,Bangalore,902935
50,HCL Technologies,Data Scientist,7,Bangalore,970782
51,Happiest Minds Technologies,Data Scientist,7,Bangalore,1050000
52,Hewlett Packard Enterprise | HPE,Data Scientist,7,Bangalore,2119584
53,Noodle.ai,Data Scientist,7,Bangalore,1687111
54,Cisco Systems,Data Scientist,7,Bangalore,1465641
55,INSOFE,Data Scientist,7,Bangalore,600000
56,Optum,Data Scientist,7,Bangalore,1805869
57,Adobe,Data Scientist,6,Bangalore,2624063
58,ABB,Data Scientist,6,Bangalore,955297
59,EY,Data Scientist,6,Bangalore,761478
60,Swiggy,Data Scientist,6,Bangalore,2805476
61,Subex,Data Scientist,6,Bangalore,969112
62,iNeuron,Data Scientist,6,Bangalore,450979
63,ZS Associates,Data Scientist,6,Bangalore,1338795
64,Robert Bosch India,Data Scientist,6,Bangalore,1040493
65,Scienaptic Systems,Data Scientist,6,Bangalore,1291549
66,FlyNava Technologies,Data Scientist,6,Bangalore,599136
67,Nokia,Data Scientist,6,Bangalore,1663189
68,UnitedHealth Group,Data Scientist,6,Bangalore,1323387
69,Sigmoid Analytics,Data Scientist,6,Bangalore,1246266
70,Idexcel,Data Scientist,6,Bangalore,494147
71,Citi,Data Scientist,5,Bangalore,1892758
72,GE Healthcare,Data Scientist,5,Bangalore,1572054
73,SigTuple,Data Scientist,5,Bangalore,2024533
74,Dell Technologies,Data Scientist,5,Bangalore,1927564
75,iNeuron,Data Scientist,5,Bangalore,800000
76,Ericsson IT Solutions & Services,Data Scientist,5,Bangalore,2009790
77,Aptus Data Labs,Data Scientist,5,Bangalore,831462
78,UniQreate,Data Scientist,5,Bangalore,516323
79,LinkedIn,Data Scientist,5,Bangalore,2333241
80,Apexon,Data Scientist,5,Bangalore,1200000
81,Shadowfax Technologies,Data Scientist,5,Bangalore,2006522
82,Bharti Airtel,Data Scientist,5,Bangalore,2160000
83,Applied Materials,Data Scientist,5,Bangalore,1341316
84,FICO,Data Scientist,5,Bangalore,1634105
85,YouPlus,Data Scientist,5,Bangalore,1389256
86,Mphasis,Data Scientist,5,Bangalore,1000000
87,Target,Data Scientist,5,Bangalore,1231116
88,Gojek,Data Scientist,5,Bangalore,2352941
89,Blueocean Market Intelligence,Data Scientist,5,Bangalore,744551
90,CRED,Data Scientist,5,Bangalore,3014686
91,Rolls-Royce,Data Scientist,5,Bangalore,1357204
92,Curl Analytics,Data Scientist,4,Bangalore,1053196
93,J.P. Morgan,Data Scientist,4,Bangalore,1337606
94,Knowledge Lens,Data Scientist,4,Bangalore,585900
95,IBM,Data Scientist,4,Bangalore,395436
96,ascena,Data Scientist,4,Bangalore,1649930
97,QuantZig,Data Scientist,4,Bangalore,1138060
98,Baker Hughes,Data Scientist,4,Bangalore,1612744
99,Everlytics,Data Scientist,4,Bangalore,432776
100,Siemens,Data Scientist,4,Bangalore,987471
101,ANZ Bank,Data Scientist,4,Bangalore,1512297
102,Lowe's Home Improvement,Data Scientist,4,Bangalore,1752935
103,Nones,Data Scientist,4,Bangalore,1197944
104,Bristlecone,Data Scientist,4,Bangalore,923544
105,Altimetrik,Data Scientist,4,Bangalore,587146
106,Head Digital Works,Data Scientist,4,Bangalore,977543
107,Artivatic Data Labs,Data Scientist,4,Bangalore,649755
108,HDFC Standard Life Insurance,Data Scientist,4,Bangalore,1177531
109,AntWorks,Data Scientist,4,Bangalore,1194925
110,American Express,Data Scientist,4,Bangalore,1693208
111,ITC Infotech,Data Scientist,4,Bangalore,414817
112,Aidetic,Data Scientist,4,Bangalore,704193
113,NeenOpal,Data Scientist,4,Bangalore,590000
114,Knowledge Foundry,Data Scientist,4,Bangalore,1119069
115,Mindtree,Data Scientist,4,Bangalore,669225
116,Nones,Data Scientist,3,Bangalore,1013978
117,TVS Motor Company,Data Scientist,3,Bangalore,1252803
118,XYZ,Data Scientist,3,Bangalore,840000
119,ShieldSquare,Data Scientist,3,Bangalore,761610
120,Tech Data,Data Scientist,3,Bangalore,1200000
121,Publicis Sapient,Data Scientist,3,Bangalore,1670405
122,Hinduja Global Solutions,Data Scientist,3,Bangalore,1284643
123,GE Digital,Data Scientist,3,Bangalore,1653106
124,GlobusSoft,Data Scientist,3,Bangalore,385393
125,MakeMyTrip,Data Scientist,3,Bangalore,1200000
126,Artificial Learning Systems,Data Scientist,3,Bangalore,1124740
127,Dailyhunt,Data Scientist,3,Bangalore,2600000
128,Draup,Data Scientist,3,Bangalore,1859109
129,SwitchOn,Data Scientist,3,Bangalore,669785
130,PwC,Data Scientist,3,Bangalore,1205874
131,Innodatatics,Data Scientist,3,Bangalore,128460
132,Robert Bosch,Data Scientist,3,Bangalore,1180355
133,Two Roads Tech,Data Scientist,3,Bangalore,3812913
134,ExxonMobil,Data Scientist,3,Bangalore,2873437
135,Bidgely,Data Scientist,3,Bangalore,1438481
136,IQVIA,Data Scientist,3,Bangalore,899123
137,ShareChat,Data Scientist,3,Bangalore,2300000
138,Course5 Intelligence,Data Scientist,3,Bangalore,825077
139,MAERSK,Data Scientist,3,Bangalore,2207174
140,Caterpillar,Data Scientist,3,Bangalore,1526335
141,Bepec Solutions,Data Scientist,3,Bangalore,600000
142,NetApp,Data Scientist,3,Bangalore,2875549
143,Exposys Data Labs,Data Scientist,3,Bangalore,433440
144,Spoonshot,Data Scientist,3,Bangalore,1615535
145,InMobi,Data Scientist,3,Bangalore,1700000
146,Swiss Re,Data Scientist,3,Bangalore,1352802
147,TheMathCompany,Data Scientist,3,Bangalore,600000
148,Shell,Data Scientist,3,Bangalore,2148775
149,Flip Robo,Data Scientist,3,Bangalore,306972
150,HCL,Data Scientist,3,Bangalore,347924
151,upGrad,Data Scientist,3,Bangalore,1284643
152,Legato Health Technologies,Data Scientist,3,Bangalore,1200000
153,Terra Economics and Analytics Lab,Data Scientist,3,Bangalore,720000
154,HDFC Bank,Data Scientist,3,Bangalore,1105385
155,Halodoc,Data Scientist,3,Bangalore,1879205
156,Analytical Wizards,Data Scientist,3,Bangalore,600000
157,PayPal,Data Scientist,3,Bangalore,273000
158,GE,Data Scientist,3,Bangalore,1007628
159,Manthan,Data Scientist,3,Bangalore,1254416
160,Visa Inc.,Data Scientist,3,Bangalore,324000
161,Tech Mahindra,Data Scientist,3,Bangalore,1500000
162,Data Semantics,Data Scientist,3,Bangalore,362209
163,GE Aviation,Data Scientist,3,Bangalore,1349689
164,Landmark Group,Data Scientist,3,Bangalore,1605804
165,Neustar,Data Scientist,3,Bangalore,1923665
166,Axis Bank,Data Scientist,3,Bangalore,1171687
167,Comviva,Data Scientist,3,Bangalore,900000
168,iQuanti,Data Scientist,3,Bangalore,2046452
169,Mercedes-Benz International,Data Scientist,2,Bangalore,1118808
170,Zoom Video Communications,Data Scientist,2,Bangalore,2839076
171,Money View,Data Scientist,2,Bangalore,1438576
172,nference,Data Scientist,2,Bangalore,1930235
173,KrazyBee,Data Scientist,2,Bangalore,1149607
174,Applied Materials,Data Scientist,2,Bangalore,1407768
175,Mavenir,Data Scientist,2,Bangalore,961306
176,Molecular Connections,Data Scientist,2,Bangalore,516564
177,Yodlee,Data Scientist,2,Bangalore,2315641
